i-index (unitless),j-index (unitless),X-value (cm),Y-value (cm),Longitude (deg),Latitude (deg),500mb Height Analysis (m),Analysis Increment from Background (m)
0,0,18.9,-6.3,-133.4349,61.7802,5317.9614,-0.222
0,1,20.17,-6.3,-132.3459,60.1426,5342.9345,7.9959
0,2,21.44,-6.3,-131.3751,58.5082,5368.3,15.2685
0,3,22.71,-6.3,-130.5046,56.8793,5397.7214,22.6779
0,4,23.98,-6.3,-129.72,55.2575,5423.5787,26.301
0,5,25.25,-6.3,-129.0095,53.6445,5444.2655,27.2666
0,6,26.52,-6.3,-128.3633,52.0415,5460.5204,25.7638
0,7,27.79,-6.3,-127.7731,50.4498,5473.0314,23.0856
0,8,29.06,-6.3,-127.232,48.8702,5480.9436,19.5698
0,9,30.33,-6.3,-126.7343,47.3038,5481.8031,11.593
0,10,31.6,-6.3,-126.2751,45.7513,5491.1765,11.8836
0,11,32.87,-6.3,-125.85,44.2134,5506.8743,16.481
0,12,34.14,-6.3,-125.4554,42.6906,5528.2252,24.2292
0,13,35.41,-6.3,-125.0883,41.1834,5564.7859,43.8224
0,14,36.68,-6.3,-124.7458,39.6925,5591.9937,50.9251
0,15,37.95,-6.3,-124.4256,38.2181,5614.0559,53.3193
0,16,39.22,-6.3,-124.1256,36.7605,5628.6424,51.2464
0,17,40.49,-6.3,-123.844,35.3202,5640.7623,47.8075
0,18,41.76,-6.3,-123.5791,33.8972,5652.6243,43.3465
0,19,43.03,-6.3,-123.3295,32.492,5674.7062,51.321
0,20,44.3,-6.3,-123.0939,31.1045,5679.5338,47.4327
0,21,45.57,-6.3,-122.8712,29.7349,5678.2899,41.9318
1,0,18.9,-5.03,-129.9031,62.2764,5296.6573,-8.3116
1,1,20.17,-5.03,-129.0028,60.6065,5317.1635,-5.4797
1,2,21.44,-5.03,-128.2033,58.9431,5345.6779,5.3158
1,3,22.71,-5.03,-127.4887,57.2879,5369.2545,7.9639
1,4,23.98,-5.03,-126.8465,55.6423,5393.8667,10.1276
1,5,25.25,-5.03,-126.2663,54.0076,5416.3561,11.3484
1,6,26.52,-5.03,-125.7396,52.3848,5435.8245,11.1569
1,7,27.79,-5.03,-125.2595,50.7748,5451.9903,10.0155
1,8,29.06,-5.03,-124.82,49.1785,5466.037,10.834
1,9,30.33,-5.03,-124.4164,47.5965,5473.2127,8.4399
1,10,31.6,-5.03,-124.0443,46.0296,5481.6781,8.1805
1,11,32.87,-5.03,-123.7003,44.4782,5500.0909,16.6497
1,12,34.14,-5.03,-123.3813,42.9429,5518.2049,22.9253
1,13,35.41,-5.03,-123.0848,41.4242,5544.7777,34.8688
1,14,36.68,-5.03,-122.8084,39.9223,5569.3028,41.6194
1,15,37.95,-5.03,-122.5501,38.4376,5591.036,44.2855
1,16,39.22,-5.03,-122.3083,36.9705,5610.8387,44.9641
1,17,40.49,-5.03,-122.0815,35.5211,5632.3338,45.9771
1,18,41.76,-5.03,-121.8682,34.0896,5658.2278,51.326
1,19,43.03,-5.03,-121.6673,32.6763,5675.6109,53.2715
1,20,44.3,-5.03,-121.4779,31.2812,5684.088,52.9973
1,21,45.57,-5.03,-121.2988,29.9045,5685.1395,49.7519
2,0,18.9,-3.76,-126.2516,62.6686,5280.3557,-10.411
2,1,20.17,-3.76,-125.5596,60.9724,5290.6486,-15.9534
2,2,21.44,-3.76,-124.947,59.2855,5313.9006,-8.822
2,3,22.71,-3.76,-124.4009,57.6092,5335.6925,-7.0213
2,4,23.98,-3.76,-123.9113,55.9446,5359.3731,-6.5522
2,5,25.25,-3.76,-123.4697,54.2926,5383.515,-5.1715
2,6,26.52,-3.76,-123.0696,52.6539,5405.5148,-4.0644
2,7,27.79,-3.76,-122.7054,51.0295,5426.0682,-2.2874
2,8,29.06,-3.76,-122.3724,49.4198,5441.0035,-1.9195
2,9,30.33,-3.76,-122.0669,47.8255,5452.1396,-0.5869
2,10,31.6,-3.76,-121.7856,46.2472,5460.878,0.2529
2,11,32.87,-3.76,-121.5257,44.6853,5470.0974,1.0718
2,12,34.14,-3.76,-121.2849,43.1402,5487.6744,8.9061
2,13,35.41,-3.76,-121.0612,41.6122,5511.849,20.9735
2,14,36.68,-3.76,-120.8528,40.1017,5531.8778,25.5111
2,15,37.95,-3.76,-120.6583,38.609,5552.3107,27.169
2,16,39.22,-3.76,-120.4762,37.1343,5578.8266,31.288
2,17,40.49,-3.76,-120.3054,35.6778,5607.7696,33.8905
2,18,41.76,-3.76,-120.1449,34.2397,5641.1383,41.9557
2,19,43.03,-3.76,-119.9939,32.82,5666.5374,49.4766
2,20,44.3,-3.76,-119.8514,31.419,5681.4202,54.1932
2,21,45.57,-3.76,-119.7168,30.0367,5686.9489,54.4646
3,0,18.9,-2.49,-122.5053,62.9514,5251.99,-26.7619
3,1,20.17,-2.49,-122.0376,61.2359,5266.8271,-23.921
3,2,21.44,-2.49,-121.6245,59.5318,5283.9809,-20.705
3,3,22.71,-2.49,-121.2571,57.8401,5306.6477,-17.5692
3,4,23.98,-2.49,-120.9282,56.1616,5333.9676,-14.3844
3,5,25.25,-2.49,-120.6319,54.4969,5360.7648,-10.9536
3,6,26.52,-2.49,-120.3639,52.8468,5385.074,-6.8205
3,7,27.79,-2.49,-120.1201,51.2119,5399.9394,-9.875
3,8,29.06,-2.49,-119.8974,49.5926,5411.0514,-12.958
3,9,30.33,-2.49,-119.6933,47.9894,5423.4885,-9.7424
3,10,31.6,-2.49,-119.5055,46.4029,5426.1696,-13.8688
3,11,32.87,-2.49,-119.3321,44.8333,5433.1541,-13.7702
3,12,34.14,-2.49,-119.1715,43.2811,5445.3757,-9.5502
3,13,35.41,-2.49,-119.0224,41.7466,5463.7723,-1.4358
3,14,36.68,-2.49,-118.8835,40.2299,5486.5645,7.3958
3,15,37.95,-2.49,-118.7539,38.7314,5504.2544,6.2149
3,16,39.22,-2.49,-118.6327,37.2513,5532.2118,8.6819
3,17,40.49,-2.49,-118.5191,35.7897,5568.2922,13.4129
3,18,41.76,-2.49,-118.4123,34.3468,5611.1223,26.5239
3,19,43.03,-2.49,-118.3118,32.9226,5645.8668,39.9436
3,20,44.3,-2.49,-118.2171,31.5173,5674.6134,55.8649
3,21,45.57,-2.49,-118.1276,30.1309,5691.0526,65.2866
4,0,18.9,-1.22,-118.6933,63.1209,5252.2206,-13.2469
4,1,20.17,-1.22,-118.4614,61.3936,5248.1848,-25.7821
4,2,21.44,-1.22,-118.2568,59.6792,5264.2113,-22.1532
4,3,22.71,-1.22,-118.075,57.9781,5287.3424,-19.2817
4,4,23.98,-1.22,-117.9125,56.2912,5318.2396,-14.8169
4,5,25.25,-1.22,-117.7662,54.619,5348.0737,-9.6703
4,6,26.52,-1.22,-117.6339,52.962,5367.9877,-8.9288
4,7,27.79,-1.22,-117.5137,51.3207,5380.8076,-12.1563
4,8,29.06,-1.22,-117.404,49.6956,5392.7061,-13.1249
4,9,30.33,-1.22,-117.3034,48.0871,5396.5751,-17.5247
4,10,31.6,-1.22,-117.211,46.4957,5396.5371,-23.2661
4,11,32.87,-1.22,-117.1256,44.9215,5397.342,-28.1465
4,12,34.14,-1.22,-117.0466,43.3651,5402.8003,-29.5925
4,13,35.41,-1.22,-116.9733,41.8266,5415.9656,-25.4797
4,14,36.68,-1.22,-116.905,40.3062,5439.5524,-14.4699
4,15,37.95,-1.22,-116.8413,38.8043,5454.4047,-17.9234
4,16,39.22,-1.22,-116.7817,37.3209,5479.9585,-18.8755
4,17,40.49,-1.22,-116.7259,35.8563,5521.7118,-10.1227
4,18,41.76,-1.22,-116.6734,34.4105,5569.0057,5.5043
4,19,43.03,-1.22,-116.624,32.9837,5618.5136,30.9631
4,20,44.3,-1.22,-116.5775,31.5758,5658.2694,55.1674
4,21,45.57,-1.22,-116.5336,30.187,5649.5105,37.5152
5,0,18.9,0.05,-114.8484,63.1746,5213.076,-35.8377
5,1,20.17,0.05,-114.858,61.4436,5228.8896,-27.994
5,2,21.44,0.05,-114.8664,59.7258,5245.2025,-23.8338
5,3,22.71,0.05,-114.8739,58.0218,5270.8015,-20.106
5,4,23.98,0.05,-114.8805,56.3322,5306.5411,-14.6377
5,5,25.25,0.05,-114.8865,54.6576,5340.6871,-8.5505
5,6,26.52,0.05,-114.892,52.9984,5363.1494,-6.5544
5,7,27.79,0.05,-114.8969,51.3551,5374.7031,-11.2417
5,8,29.06,0.05,-114.9014,49.7282,5383.0391,-15.4534
5,9,30.33,0.05,-114.9055,48.118,5386.7851,-19.2324
5,10,31.6,0.05,-114.9093,46.525,5385.1677,-25.4551
5,11,32.87,0.05,-114.9128,44.9494,5384.2259,-30.8649
5,12,34.14,0.05,-114.9161,43.3916,5390.134,-30.5438
5,13,35.41,0.05,-114.9191,41.8519,5401.5044,-26.3913
5,14,36.68,0.05,-114.9219,40.3304,5422.1176,-16.0003
5,15,37.95,0.05,-114.9245,38.8273,5429.719,-24.5648
5,16,39.22,0.05,-114.927,37.3429,5446.0304,-33.1311
5,17,40.49,0.05,-114.9292,35.8773,5480.9224,-29.3903
5,18,41.76,0.05,-114.9314,34.4306,5536.3968,-4.1337
5,19,43.03,0.05,-114.9334,33.0029,5585.9881,21.3928
5,20,44.3,0.05,-114.9353,31.5943,5623.2259,42.1811
5,21,45.57,0.05,-114.9371,30.2048,5628.9496,38.1879
6,0,18.9,1.32,-111.0049,63.1117,5198.0841,-36.4143
6,1,20.17,1.32,-111.2557,61.3851,5215.7711,-28.589
6,2,21.44,1.32,-111.4769,59.6712,5233.0344,-24.4428
6,3,22.71,1.32,-111.6735,57.9707,5260.8155,-20.4439
6,4,23.98,1.32,-111.8493,56.2842,5300.6874,-14.6108
6,5,25.25,1.32,-112.0075,54.6124,5339.6019,-7.8377
6,6,26.52,1.32,-112.1505,52.9557,5367.0923,-4.2285
6,7,27.79,1.32,-112.2805,51.3148,5381.2764,-8.7391
6,8,29.06,1.32,-112.3992,49.69,5390.3662,-12.9158
6,9,30.33,1.32,-112.508,48.0819,5394.6744,-15.8315
6,10,31.6,1.32,-112.608,46.4907,5393.2184,-21.2457
6,11,32.87,1.32,-112.7003,44.9168,5394.1572,-23.6069
6,12,34.14,1.32,-112.7858,43.3606,5397.7451,-23.5932
6,13,35.41,1.32,-112.8651,41.8223,5405.4535,-20.265
6,14,36.68,1.32,-112.939,40.3021,5413.3481,-19.2238
6,15,37.95,1.32,-113.0079,38.8004,5417.3186,-27.9397
6,16,39.22,1.32,-113.0724,37.3172,5437.2037,-29.8041
6,17,40.49,1.32,-113.1328,35.8527,5460.8864,-34.5058
6,18,41.76,1.32,-113.1895,34.4071,5507.353,-15.8459
6,19,43.03,1.32,-113.2429,32.9804,5570.7293,25.1275
6,20,44.3,1.32,-113.2933,31.5727,5607.3517,46.1315
6,21,45.57,1.32,-113.3408,30.184,5629.5978,58.8307
7,0,18.9,2.59,-107.197,62.9332,5191.5369,-35.5888
7,1,20.17,2.59,-107.6828,61.2189,5211.4633,-27.764
7,2,21.44,2.59,-108.1119,59.516,5230.9434,-24.5616
7,3,22.71,2.59,-108.4937,57.8253,5263.2423,-19.6433
7,4,23.98,2.59,-108.8356,56.1477,5305.1374,-14.3141
7,5,25.25,2.59,-109.1434,54.4838,5343.9856,-9.3892
7,6,26.52,2.59,-109.4221,52.8345,5374.1093,-6.2447
7,7,27.79,2.59,-109.6755,51.2002,5395.266,-6.6715
7,8,29.06,2.59,-109.9069,49.5815,5405.9442,-10.1545
7,9,30.33,2.59,-110.1191,47.9789,5410.4334,-13.1056
7,10,31.6,2.59,-110.3144,46.3929,5414.9497,-12.6648
