i-index (unitless),j-index (unitless),X-value (cm),Y-value (cm),Longitude (deg),Latitude (deg),500mb Height Analysis (m),Analysis Increment from Background (m)
0,0,18.9,-6.3,-133.4349,61.7802,5322.5065,4.3231
0,1,20.17,-6.3,-132.3459,60.1426,5350.165,15.2265
0,2,21.44,-6.3,-131.3751,58.5082,5376.4088,23.3773
0,3,22.71,-6.3,-130.5046,56.8793,5397.0128,21.9694
0,4,23.98,-6.3,-129.72,55.2575,5423.226,25.9484
0,5,25.25,-6.3,-129.0095,53.6445,5444.0878,27.0889
0,6,26.52,-6.3,-128.3633,52.0415,5461.7087,26.9521
0,7,27.79,-6.3,-127.7731,50.4498,5473.0956,23.1498
0,8,29.06,-6.3,-127.232,48.8702,5482.4053,21.0316
0,9,30.33,-6.3,-126.7343,47.3038,5491.4255,21.2153
0,10,31.6,-6.3,-126.2751,45.7513,5502.0854,22.7924
0,11,32.87,-6.3,-125.85,44.2134,5519.4878,29.0945
0,12,34.14,-6.3,-125.4554,42.6906,5543.626,39.63
0,13,35.41,-6.3,-125.0883,41.1834,5568.1968,47.2333
0,14,36.68,-6.3,-124.7458,39.6925,5592.6036,51.535
0,15,37.95,-6.3,-124.4256,38.2181,5614.7231,53.9865
0,16,39.22,-6.3,-124.1256,36.7605,5631.3031,53.907
0,17,40.49,-6.3,-123.844,35.3202,5644.3749,51.42
0,18,41.76,-6.3,-123.5791,33.8972,5658.7311,49.4533
0,19,43.03,-6.3,-123.3295,32.492,5671.7893,48.4041
0,20,44.3,-6.3,-123.0939,31.1045,5677.663,45.5619
0,21,45.57,-6.3,-122.8712,29.7349,5677.6815,41.3233
1,0,18.9,-5.03,-129.9031,62.2764,5301.6082,-3.3607
1,1,20.17,-5.03,-129.0028,60.6065,5330.5032,7.86
1,2,21.44,-5.03,-128.2033,58.9431,5349.3398,8.9778
1,3,22.71,-5.03,-127.4887,57.2879,5369.2964,8.0059
1,4,23.98,-5.03,-126.8465,55.6423,5394.6384,10.8994
1,5,25.25,-5.03,-126.2663,54.0076,5416.1832,11.1755
1,6,26.52,-5.03,-125.7396,52.3848,5435.9721,11.3044
1,7,27.79,-5.03,-125.2595,50.7748,5451.0206,9.0459
1,8,29.06,-5.03,-124.82,49.1785,5462.93,7.7271
1,9,30.33,-5.03,-124.4164,47.5965,5472.5676,7.7948
1,10,31.6,-5.03,-124.0443,46.0296,5485.0058,11.5082
1,11,32.87,-5.03,-123.7003,44.4782,5499.9738,16.5325
1,12,34.14,-5.03,-123.3813,42.9429,5519.7764,24.4968
1,13,35.41,-5.03,-123.0848,41.4242,5547.116,37.2072
1,14,36.68,-5.03,-122.8084,39.9223,5569.6692,41.9858
1,15,37.95,-5.03,-122.5501,38.4376,5593.08,46.3295
1,16,39.22,-5.03,-122.3083,36.9705,5611.6256,45.7511
1,17,40.49,-5.03,-122.0815,35.5211,5632.2237,45.867
1,18,41.76,-5.03,-121.8682,34.0896,5654.1239,47.2221
1,19,43.03,-5.03,-121.6673,32.6763,5671.9765,49.6371
1,20,44.3,-5.03,-121.4779,31.2812,5681.9462,50.8555
1,21,45.57,-5.03,-121.2988,29.9045,5684.8211,49.4334
2,0,18.9,-3.76,-126.2516,62.6686,5280.0704,-10.6962
2,1,20.17,-3.76,-125.5596,60.9724,5301.1705,-5.4315
2,2,21.44,-3.76,-124.947,59.2855,5318.438,-4.2845
2,3,22.71,-3.76,-124.4009,57.6092,5335.9746,-6.7392
2,4,23.98,-3.76,-123.9113,55.9446,5361.7591,-4.1662
2,5,25.25,-3.76,-123.4697,54.2926,5385.7714,-2.9151
2,6,26.52,-3.76,-123.0696,52.6539,5407.0774,-2.5019
2,7,27.79,-3.76,-122.7054,51.0295,5426.0076,-2.348
2,8,29.06,-3.76,-122.3724,49.4198,5436.5535,-6.3694
2,9,30.33,-3.76,-122.0669,47.8255,5448.2435,-4.483
2,10,31.6,-3.76,-121.7856,46.2472,5457.1509,-3.4742
2,11,32.87,-3.76,-121.5257,44.6853,5468.2333,-0.7924
2,12,34.14,-3.76,-121.2849,43.1402,5483.3,4.5317
2,13,35.41,-3.76,-121.0612,41.6122,5507.4053,16.5298
2,14,36.68,-3.76,-120.8528,40.1017,5528.3853,22.0187
2,15,37.95,-3.76,-120.6583,38.609,5550.868,25.7263
2,16,39.22,-3.76,-120.4762,37.1343,5575.7006,28.1619
2,17,40.49,-3.76,-120.3054,35.6778,5606.7541,32.875
2,18,41.76,-3.76,-120.1449,34.2397,5636.8558,37.6732
2,19,43.03,-3.76,-119.9939,32.82,5663.145,46.0841
2,20,44.3,-3.76,-119.8514,31.419,5680.2222,52.9953
2,21,45.57,-3.76,-119.7168,30.0367,5687.6572,55.173
3,0,18.9,-2.49,-122.5053,62.9514,5260.7878,-17.964
3,1,20.17,-2.49,-122.0376,61.2359,5276.5425,-14.2056
3,2,21.44,-2.49,-121.6245,59.5318,5288.67,-16.0159
3,3,22.71,-2.49,-121.2571,57.8401,5305.9817,-18.2353
3,4,23.98,-2.49,-120.9282,56.1616,5334.3154,-14.0367
3,5,25.25,-2.49,-120.6319,54.4969,5359.9736,-11.7448
3,6,26.52,-2.49,-120.3639,52.8468,5380.8467,-11.0478
3,7,27.79,-2.49,-120.1201,51.2119,5399.0687,-10.7457
3,8,29.06,-2.49,-119.8974,49.5926,5408.5488,-15.4606
3,9,30.33,-2.49,-119.6933,47.9894,5417.605,-15.626
3,10,31.6,-2.49,-119.5055,46.4029,5422.8494,-17.1889
3,11,32.87,-2.49,-119.3321,44.8333,5428.3709,-18.5534
3,12,34.14,-2.49,-119.1715,43.2811,5440.2426,-14.6833
3,13,35.41,-2.49,-119.0224,41.7466,5460.4087,-4.7994
3,14,36.68,-2.49,-118.8835,40.2299,5478.6476,-0.5212
3,15,37.95,-2.49,-118.7539,38.7314,5499.8916,1.852
3,16,39.22,-2.49,-118.6327,37.2513,5528.8208,5.2909
3,17,40.49,-2.49,-118.5191,35.7897,5563.7827,8.9034
3,18,41.76,-2.49,-118.4123,34.3468,5606.8136,22.2152
3,19,43.03,-2.49,-118.3118,32.9226,5644.8426,38.9194
3,20,44.3,-2.49,-118.2171,31.5173,5671.7699,53.0214
3,21,45.57,-2.49,-118.1276,30.1309,5685.5602,59.7943
4,0,18.9,-1.22,-118.6933,63.1209,5241.5865,-23.881
4,1,20.17,-1.22,-118.4614,61.3936,5252.0832,-21.8837
4,2,21.44,-1.22,-118.2568,59.6792,5263.5344,-22.8301
4,3,22.71,-1.22,-118.075,57.9781,5285.2802,-21.3439
4,4,23.98,-1.22,-117.9125,56.2912,5315.7475,-17.309
4,5,25.25,-1.22,-117.7662,54.619,5343.5134,-14.2306
4,6,26.52,-1.22,-117.6339,52.962,5364.569,-12.3476
4,7,27.79,-1.22,-117.5137,51.3207,5382.7804,-10.1835
4,8,29.06,-1.22,-117.404,49.6956,5390.416,-15.4149
4,9,30.33,-1.22,-117.3034,48.0871,5393.1856,-20.9141
4,10,31.6,-1.22,-117.211,46.4957,5392.8423,-26.9608
4,11,32.87,-1.22,-117.1256,44.9215,5395.863,-29.6255
4,12,34.14,-1.22,-117.0466,43.3651,5404.703,-27.6899
4,13,35.41,-1.22,-116.9733,41.8266,5422.3302,-19.115
4,14,36.68,-1.22,-116.905,40.3062,5440.1466,-13.8757
4,15,37.95,-1.22,-116.8413,38.8043,5453.9651,-18.3631
4,16,39.22,-1.22,-116.7817,37.3209,5485.7879,-13.0461
4,17,40.49,-1.22,-116.7259,35.8563,5519.414,-12.4206
4,18,41.76,-1.22,-116.6734,34.4105,5569.1995,5.6981
4,19,43.03,-1.22,-116.624,32.9837,5616.0416,28.491
4,20,44.3,-1.22,-116.5775,31.5758,5656.2055,53.1035
4,21,45.57,-1.22,-116.5336,30.187,5677.4265,65.4313
5,0,18.9,0.05,-114.8484,63.1746,5221.3229,-27.5909
5,1,20.17,0.05,-114.858,61.4436,5232.1173,-24.7664
5,2,21.44,0.05,-114.8664,59.7258,5242.3684,-26.6678
5,3,22.71,0.05,-114.8739,58.0218,5270.2451,-20.6625
5,4,23.98,0.05,-114.8805,56.3322,5305.203,-15.9758
5,5,25.25,0.05,-114.8865,54.6576,5339.3271,-9.9104
5,6,26.52,0.05,-114.892,52.9984,5361.6763,-8.0275
5,7,27.79,0.05,-114.8969,51.3551,5376.9988,-8.946
