stationID,latitude (deg),longitude (deg),Observed 500 hPa geopotential height (m),Analyzed 500 hPa geopotential height (m),Analysis - Observed (m)
115.0,18.43,-69.8,5880.0,5881.921,1.921
116.0,37.23,-93.3,5710.0,5707.331,-2.669
117.0,32.47,-93.8,5780.0,5778.025,-1.975
118.0,30.25,-89.7,5850.0,5849.104,-0.896
119.0,40.78,-111.9,5430.0,5421.089,-8.911
120.0,44.92,-123.0,5480.0,5485.792,5.792
121.0,57.16,-170.22,5110.0,nan,nan
122.0,27.7,-82.4,5870.0,5869.5,-0.5
123.0,47.46,-110.6,5410.0,5410.296,0.296
124.0,30.4,-84.3,5860.0,5855.749,-4.251
125.0,39.07,-95.6,5640.0,5639.183,-0.817
126.0,32.12,-110.9,5570.0,5569.12,-0.88
127.0,47.95,-124.5,5470.0,5470.761,0.761
128.0,44.07,-102.8,5490.0,5491.017,1.017
129.0,36.05,-115.18,5470.0,5475.242,5.242
130.0,37.93,-75.4,5730.0,5730.936,0.936
131.0,32.37,-64.6,5620.0,5681.495,61.495
132.0,59.52,-139.6,5340.0,5344.033,4.033
133.0,46.38,-75.9,5580.0,5585.474,5.474
134.0,60.72,-135.0,5340.0,5331.192,-8.808
