stationID,latitude (deg),longitude (deg),Observed 500 hPa geopotential height (m),Analyzed 500 hPa geopotential height (m),Analysis - Observed (m)
65.0,38.95,-95.6,5640.0,5639.13,-0.87
66.0,32.79,-96.7,5670.0,5677.902,7.902
67.0,48.22,-106.6,5440.0,5440.589,0.589
68.0,39.13,-108.5,5430.0,5430.33,0.33
69.0,44.48,-88.1,5600.0,5607.308,7.308
70.0,36.08,-79.9,5780.0,5777.369,-2.631
71.0,43.89,-70.26,5590.0,5602.111,12.111
72.0,38.95,-77.4,5730.0,5727.882,-2.118
73.0,39.43,-83.8,5730.0,5727.118,-2.882
74.0,40.15,-88.6,5690.0,5697.19,7.19
75.0,48.57,-93.3,5520.0,5522.364,2.364
76.0,19.72,-155.0,5810.0,nan,nan
77.0,32.32,-90.0,5830.0,5825.444,-4.556
78.0,30.5,-81.7,5840.0,5841.79,1.79
79.0,18.43,-66.0,5840.0,nan,nan
80.0,10.58,-61.3,5860.0,nan,nan
81.0,41.13,-100.6,5540.0,5527.401,-12.599
82.0,30.12,-93.2,5820.0,5822.001,2.001
83.0,34.73,-92.2,5760.0,5760.983,0.983
84.0,40.87,-114.2,5400.0,5413.212,13.212
85.0,34.83,-92.2,5760.0,5759.352,-0.648
86.0,31.95,-102.2,5530.0,5536.862,6.862
87.0,19.43,-99.0,5880.0,5827.609,-52.391
88.0,25.75,-79.6,5880.0,5871.466,-8.534
89.0,42.37,-122.8,5530.0,5522.02,-7.98
90.0,34.78,-76.88,5780.0,5778.69,-1.31
91.0,25.82,-80.2,5880.0,5871.913,-8.087
92.0,44.83,-93.55,5600.0,5594.502,-5.498
93.0,23.18,-106.4,5800.0,5598.301,-201.699
94.0,27.7,-97.2,5810.0,5779.102,-30.898
95.0,30.23,-81.6,5840.0,5843.355,3.355
96.0,32.85,-117.1,5640.0,5629.423,-10.577
97.0,24.57,-81.6,5880.0,5876.235,-3.765
98.0,33.02,-118.59,5640.0,5646.569,6.569
99.0,37.73,-122.2,5600.0,5596.519,-3.481
100.0,41.32,-95.6,5610.0,5615.506,5.506
101.0,35.4,-97.6,5610.0,5602.743,-7.257
102.0,40.87,-72.86,5670.0,5671.719,1.719
103.0,64.5,-165.4,5180.0,5318.554,138.554
104.0,47.7,-116.4,5390.0,5392.787,2.787
105.0,66.87,-162.6,5200.0,5316.092,116.092
106.0,35.22,-97.4,5610.0,5610.663,0.663
107.0,40.67,-89.6,5690.0,5685.92,-4.08
108.0,40.5,-80.2,5710.0,5708.884,-1.116
109.0,44.05,-103.0,5490.0,5492.054,2.054
110.0,39.57,-118.2,5480.0,5479.204,-0.796
111.0,43.07,-108.4,5440.0,5440.938,0.938
112.0,43.23,-75.4,5660.0,5655.77,-4.23
113.0,37.2,-79.5,5760.0,5760.74,0.74
114.0,9.98,-84.2,5870.0,nan,nan
115.0,18.43,-69.8,5880.0,5880.703,0.703
116.0,37.23,-93.3,5710.0,5706.616,-3.384
117.0,32.47,-93.8,5780.0,5771.557,-8.443
118.0,30.25,-89.7,5850.0,5849.353,-0.647
119.0,40.78,-111.9,5430.0,5415.826,-14.174
120.0,44.92,-123.0,5480.0,5485.883,5.883
121.0,57.16,-170.22,5110.0,nan,nan
122.0,27.7,-82.4,5870.0,5871.709,1.709
123.0,47.46,-110.6,5410.0,5408.846,-1.154
124.0,30.4,-84.3,5860.0,5855.113,-4.887
125.0,39.07,-95.6,5640.0,5638.07,-1.93
126.0,32.12,-110.9,5570.0,5564.31,-5.69
127.0,47.95,-124.5,5470.0,5471.569,1.569
128.0,44.07,-102.8,5490.0,5494.412,4.412
129.0,36.05,-115.18,5470.0,5482.347,12.347
130.0,37.93,-75.4,5730.0,5731.326,1.326
131.0,32.37,-64.6,5620.0,5677.409,57.409
132.0,59.52,-139.6,5340.0,5340.941,0.941
133.0,46.38,-75.9,5580.0,5583.051,3.051
134.0,60.72,-135.0,5340.0,5329.725,-10.275
