stationID,latitude (deg),longitude (deg),Observed 500 hPa geopotential height (m),Analyzed 500 hPa geopotential height (m),Analysis - Observed (m)
0.0,51.47,-90.2,5460.0,5461.534,1.534
1.0,43.83,-66.0,5540.0,5545.24,5.24
2.0,53.55,-113.9,5360.0,5356.371,-3.629
3.0,53.75,-73.6,5340.0,5312.809,-27.191
4.0,64.3,-96.0,5220.0,5218.246,-1.754
5.0,69.1,-105.1,5190.0,5210.631,20.631
6.0,80.0,-85.8,4890.0,nan,nan
7.0,68.3,-133.4,5210.0,5288.909,78.909
8.0,63.75,-68.5,5140.0,5191.872,51.872
9.0,48.53,-58.5,5360.0,5432.122,72.122
10.0,82.52,-62.2,4970.0,nan,nan
11.0,51.27,-80.6,5450.0,5448.091,-1.909
12.0,58.47,-78.0,5180.0,5239.663,59.663
13.0,53.97,-101.1,5370.0,5368.661,-1.339
14.0,74.72,-94.9,5020.0,5203.367,183.367
15.0,43.93,-60.0,5490.0,5477.463,-12.537
16.0,60.02,-111.9,5230.0,5231.323,1.323
17.0,68.78,-81.2,5160.0,5192.932,32.932
18.0,58.1,-68.4,5180.0,5279.245,99.245
19.0,65.28,-126.8,5270.0,5281.555,11.555
20.0,58.83,-122.5,5300.0,5301.713,1.713
21.0,58.75,-94.0,5250.0,5245.553,-4.447
22.0,53.32,-60.4,5250.0,5364.509,114.509
23.0,50.68,-127.3,5470.0,5467.29,-2.71
24.0,50.22,-66.2,5380.0,5416.364,36.364
25.0,53.9,-122.8,5380.0,5384.957,4.957
26.0,35.05,-106.6,5430.0,5434.373,4.373
27.0,45.45,-98.4,5550.0,5543.713,-6.287
28.0,57.75,-152.4,5200.0,5338.945,138.945
29.0,40.35,-79.9,5710.0,5710.999,0.999
30.0,58.68,-156.6,5180.0,5330.847,150.847
31.0,40.17,-103.2,5450.0,5470.778,20.778
32.0,42.75,-72.2,5660.0,5641.691,-18.309
33.0,35.23,-101.7,5440.0,5465.285,25.285
34.0,61.17,-150.0,5260.0,5327.819,67.819
35.0,55.03,-131.5,5420.0,5391.549,-28.451
36.0,45.07,-82.4,5610.0,5614.206,4.206
37.0,32.5,-93.6,5780.0,5775.716,-4.284
38.0,60.78,-161.8,5180.0,5323.448,143.448
39.0,46.77,-100.7,5510.0,5511.757,1.757
40.0,33.57,-85.2,5820.0,5820.283,0.283
41.0,36.13,-86.6,5780.0,5779.558,-0.442
42.0,43.57,-116.2,5390.0,5397.051,7.051
43.0,25.9,-97.4,5840.0,5801.328,-38.672
44.0,71.3,-156.7,5130.0,5307.962,177.962
45.0,42.93,-78.7,5660.0,5666.408,6.408
46.0,35.97,-89.9,5760.0,5762.319,2.319
47.0,46.87,-68.0,5510.0,5496.947,-13.053
48.0,55.2,-162.7,5100.0,5326.483,226.483
49.0,41.66,-69.96,5630.0,5628.358,-1.642
50.0,32.9,-80.0,5810.0,5813.015,3.015
51.0,27.77,-97.5,5810.0,5771.457,-38.543
52.0,37.77,-99.9,5540.0,5532.193,-7.807
53.0,39.86,-104.7,5450.0,5448.876,-1.124
54.0,29.37,-100.7,5680.0,5683.367,3.367
55.0,32.17,-110.8,5570.0,5562.122,-7.878
56.0,39.78,-104.8,5450.0,5447.182,-2.818
57.0,29.37,-100.9,5680.0,5677.343,-2.657
58.0,42.7,-83.4,5670.0,5663.365,-6.635
59.0,41.62,-90.5,5670.0,5664.598,-5.402
60.0,31.87,-106.7,5520.0,5518.277,-1.723
61.0,24.55,-81.7,5880.0,5884.174,4.174
62.0,64.82,-147.8,5280.0,5317.324,37.324
63.0,33.37,-84.5,5820.0,5823.538,3.538
64.0,35.23,-111.8,5470.0,5477.49,7.49
